brand,id,value,year,model,version
Kia Motors,1429,31045,2008,Sportage, EX 2.7 V6 4x4 Aut.
Kia Motors,1429,30039,2007,Sportage, EX 2.7 V6 4x4 Aut.
Kia Motors,1434,33590,2010,Sportage, LX 2.0 16V 142cv 5p
Kia Motors,1434,32312,2009,Sportage, LX 2.0 16V 142cv 5p
Kia Motors,1434,31044,2008,Sportage, LX 2.0 16V 142cv 5p
Kia Motors,1434,30073,2007,Sportage, LX 2.0 16V 142cv 5p
Kia Motors,5419,113169,32000,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,102429,2018,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,98126,2017,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,88438,2016,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,78990,2015,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,77854,2014,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,64711,2013,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,59263,2012,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5419,57130,2011,Sportage, LX 2.0 16V/ 2.0 16V Flex  Aut.
Kia Motors,5420,72747,2014,Sportage, LX 2.0 16V/ 2.0 16V Flex Mec.
Kia Motors,5420,60977,2013,Sportage, LX 2.0 16V/ 2.0 16V Flex Mec.
Kia Motors,5420,56407,2012,Sportage, LX 2.0 16V/ 2.0 16V Flex Mec.
Kia Motors,5420,52756,2011,Sportage, LX 2.0 16V/ 2.0 16V Flex Mec.
LAMBORGHINI,6110,4094825,32000,Aventador, LP 700-4
LAMBORGHINI,6110,3663304,2017,Aventador, LP 700-4
LAMBORGHINI,6110,3552600,2016,Aventador, LP 700-4
LAMBORGHINI,6110,3047689,2015,Aventador, LP 700-4
LAMBORGHINI,6110,2875468,2014,Aventador, LP 700-4
LAMBORGHINI,6110,2703677,2013,Aventador, LP 700-4
LAMBORGHINI,6110,2421177,2012,Aventador, LP 700-4
LAMBORGHINI,6922,4894624,32000,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,6922,4376574,2017,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,6922,4130109,2016,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,6922,3692394,2015,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,6922,3467477,2014,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,6922,3153447,2013,Aventador, LP 700-4 ROADSTER
LAMBORGHINI,8083,4489402,32000,Aventador, S LP 740-4
LAMBORGHINI,8083,4022505,2018,Aventador, S LP 740-4
LAMBORGHINI,6112,1099840,2013,Gallardo, Coupe LP550-2 Bicolore
LAMBORGHINI,6112,907610,2012,Gallardo, Coupe LP550-2 Bicolore
LAMBORGHINI,5375,986696,2013,Gallardo, Coupe LP560-4
LAMBORGHINI,5375,898363,2012,Gallardo, Coupe LP560-4
LAMBORGHINI,5375,745290,2010,Gallardo, Coupe LP560-4
LAMBORGHINI,5375,723209,2009,Gallardo, Coupe LP560-4
LAMBORGHINI,6114,1350372,2013,Gallardo, Coupe LP570-4 Sup.Trof.Stradale
LAMBORGHINI,6114,1077534,2012,Gallardo, Coupe LP570-4 Sup.Trof.Stradale
